#CORRENTE(ID;NUMEROCONTA;IDAGENCIA;IDPESSOA;SALDO)
CORRENTE;2001;11111;3001;1001;20010
CORRENTE;2002;11111;3001;1010;20020
CORRENTE;2003;11111;3002;1011;20030
CORRENTE;2004;11111;3002;1012;20040
CORRENTE;2005;11111;3003;1013;20050
CORRENTE;2006;11111;3004;1014;20060
#POUPANCA(ID;NUMEROCONTA;IDAGENCIA;IDPESSOA;SALDO)
POUPANCA;2007;22222;3001;1015;20070
POUPANCA;2008;22222;3002;1016;20080
POUPANCA;2009;22222;3003;1017;20090
POUPANCA;2010;22222;3003;1018;20100
POUPANCA;2011;22222;3004;1019;20110
POUPANCA;2012;22222;3004;1008;20120
